galaxy,redshift,pixscale,obs2phys,semimaj,axisrat,mag160,ra,dec
gal00487,2.68,20.0,7.9434326565093425,0.05,0.32,25.3409,34.454284200000004,-5.215783999999999
gal00489,1.23,20.0,8.322263287154156,0.17,0.66,25.459,34.4550665,-5.215675900000001
gal00490,2.0709999999999997,20.0,8.336583500537172,0.24,0.65,24.8353,34.5559987,-5.2156227
gal00491,1.689,20.0,8.466986702031683,0.12,0.82,25.8442,34.3459763,-5.2155610999999995
gal00492,1.3780000000000001,20.0,8.422773767442584,0.21,0.67,24.8062,34.589975,-5.215707599999999
gal00493,1.635,20.0,8.47175763716746,0.27,0.11,26.2435,34.2624968,-5.215536900000001
gal00495,1.383,20.0,8.425096868712195,0.37,0.69,22.7403,34.4477804,-5.2164131
gal00496,1.66,20.0,8.470087775888807,0.14,0.64,26.5276,34.3242355,-5.2155366999999995
gal00497,1.5590000000000002,20.0,8.470631630811338,0.29,0.38,24.2795,34.4154035,-5.215696
gal00499,1.0290000000000001,20.0,8.061383091813049,0.45,0.82,22.5019,34.4370132,-5.216306200000001
gal00500,2.113,20.0,8.314672974848577,0.13,0.78,24.4051,34.4271683,-5.2707652000000005
gal00501,1.8359999999999999,20.0,8.43431455068923,0.19,0.6,26.2976,34.2495114,-5.2154606
gal00502,1.183,20.0,8.275726424049706,0.26,0.55,26.0339,34.3063224,-5.2154679
gal00507,1.749,20.0,8.456878619613573,0.18,0.64,24.6736,34.4386591,-5.2156293
